timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-06-27,151.2400,153.3900,151.2400,153.2900,153.2900,15055010,0.0000,1.0000
2019-06-26,151.7000,152.2200,150.7600,150.8000,150.8000,15695549,0.0000,1.0000
2019-06-25,152.3100,152.5000,151.0000,151.1500,151.1500,17462151,0.0000,1.0000
2019-06-24,154.3600,154.4100,152.0000,152.0800,152.0800,24002606,0.0000,1.0000
2019-06-21,155.1300,155.1700,153.6100,153.9500,153.9500,19854435,0.0000,1.0000
2019-06-20,156.0500,156.2200,154.4400,155.2900,155.2900,17595703,0.0000,1.0000
2019-06-19,154.1900,154.7025,153.4000,154.5600,154.5600,15625008,0.0000,1.0000
2019-06-18,153.2700,155.1500,152.2580,154.0100,154.0100,22100754,0.0000,1.0000
2019-06-17,151.8700,152.8950,151.6700,152.2400,152.2400,12509313,0.5330,1.0000
2019-06-14,152.8800,152.9400,151.7200,151.7300,151.2007,16154767,0.0000,1.0000
2019-06-13,152.3100,153.1800,151.8700,153.0700,152.5360,14839357,0.0000,1.0000
2019-06-12,151.1800,151.7800,150.6200,151.4700,150.9416,11957587,0.0000,1.0000
2019-06-11,152.8700,153.2300,150.5800,151.3000,150.7722,15373037,0.0000,1.0000
2019-06-10,151.4500,153.1400,151.4500,151.7500,151.2206,18912302,0.0000,1.0000
2019-06-07,150.3500,151.5100,150.0200,150.8600,150.3337,17107474,0.0000,1.0000
2019-06-06,150.1200,150.5200,148.3100,149.8000,149.2774,20772463,0.0000,1.0000
2019-06-05,150.7600,150.8850,148.6100,150.1900,149.6660,18184095,0.0000,1.0000
2019-06-04,147.9200,150.2900,146.4238,150.1600,149.6361,21217585,0.0000,1.0000
2019-06-03,146.1300,147.2050,145.3300,146.3700,145.8594,26554491,0.0000,1.0000
2019-05-31,146.1900,146.8400,145.3200,145.8600,145.3511,25411311,0.0000,1.0000
2019-05-30,148.7500,149.5800,147.0400,147.9300,147.4139,17739134,0.0000,1.0000
2019-05-29,148.8400,148.9300,147.3600,148.3400,147.8225,22622297,0.0000,1.0000
2019-05-28,151.0100,151.6500,149.5800,149.5900,149.0681,14042225,0.0000,1.0000
2019-05-24,150.3800,151.0900,149.7900,150.7900,150.2639,16093125,0.0000,1.0000
2019-05-23,151.0600,151.0600,148.5800,149.3900,148.8688,26379401,0.0000,1.0000
2019-05-22,153.2200,153.5900,152.0000,152.5300,151.9979,13922642,0.0000,1.0000
2019-05-21,152.6300,154.0400,152.5800,153.8200,153.2834,11659095,0.0000,1.0000
2019-05-20,151.9300,152.8200,151.4100,151.7800,151.2505,18689812,0.0000,1.0000
2019-05-17,153.8200,155.2700,152.6600,152.8400,152.3068,21534435,0.0000,1.0000
2019-05-16,154.5100,156.1750,154.4400,155.0000,154.4592,13772117,0.0000,1.0000
2019-05-15,152.4000,154.4100,152.0699,154.0400,153.5026,18410553,0.0000,1.0000
2019-05-14,151.9600,154.1700,151.7000,153.5400,153.0043,15519159,0.0000,1.0000
2019-05-13,153.6900,154.0200,151.1600,151.6300,151.1010,26936494,0.0000,1.0000
2019-05-10,155.5900,156.8300,153.6700,156.6200,156.0736,26544657,0.0000,1.0000
2019-05-09,155.5200,156.6500,153.7400,156.1900,155.6451,25259925,0.0000,1.0000
2019-05-08,157.2600,158.0900,156.6500,156.7600,156.2131,16113734,0.0000,1.0000
2019-05-07,159.3100,159.8700,156.2500,157.5300,156.9804,25434464,0.0000,1.0000
2019-05-06,158.1800,161.1100,158.0100,160.7100,160.1493,21262070,0.0000,1.0000
2019-05-03,158.3100,160.6400,158.1900,160.5300,159.9700,20178822,0.0000,1.0000
2019-05-02,156.6400,158.1500,155.6764,157.5200,156.9705,22715745,0.0000,1.0000
2019-05-01,158.6700,158.7329,156.7100,156.7900,156.2430,17734287,0.0000,1.0000
2019-04-30,159.1500,159.1900,156.9600,158.2900,157.7378,24127485,0.0000,1.0000
2019-04-29,158.6200,159.6100,158.4900,159.0300,158.4752,13698861,0.0000,1.0000
2019-04-26,156.9600,158.4900,156.3950,158.2700,157.7178,16999448,0.0000,1.0000
2019-04-25,157.3300,157.4725,155.4700,156.7500,156.2031,19365357,0.0000,1.0000
2019-04-24,157.6200,158.6900,157.3700,158.0600,157.5086,18053139,0.0000,1.0000
2019-04-23,155.3700,158.0500,155.3600,157.5700,157.0203,23396092,0.0000,1.0000
2019-04-22,155.3100,155.8100,154.5200,155.2300,154.6884,15596772,0.0000,1.0000
2019-04-18,156.1100,156.2800,154.6600,155.6400,155.0970,23276340,0.0000,1.0000
2019-04-17,158.0900,158.1100,155.2000,156.1000,155.5554,17108477,0.0000,1.0000
2019-04-16,157.7100,157.8999,156.9800,157.5400,156.9904,16782942,0.0000,1.0000
2019-04-15,157.9500,158.1000,156.5000,157.1700,156.6217,10964045,0.0000,1.0000
2019-04-12,158.1300,158.1600,157.1100,157.6800,157.1299,14120287,0.0000,1.0000
2019-04-11,157.5200,157.6800,156.8100,157.1100,156.5619,12218698,0.0000,1.0000
