timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-06-27,186.4700,186.9400,185.9900,186.7200,186.7200,15889915,0.0000,1.0000
2019-06-26,186.1300,187.3300,185.4900,185.7900,185.7900,22512628,0.0000,1.0000
2019-06-25,188.0600,188.1400,184.6500,184.9300,184.9300,33921112,0.0000,1.0000
2019-06-24,188.5200,188.7200,188.0600,188.1600,188.1600,19375205,0.4156,1.0000
2019-06-21,188.5700,189.7700,188.1736,188.5700,188.1544,39980418,0.0000,1.0000
2019-06-20,189.7200,189.7600,187.1585,188.8500,188.4338,40921964,0.0000,1.0000
2019-06-19,186.7300,187.5300,185.5700,187.1100,186.6976,31672855,0.0000,1.0000
2019-06-18,185.8800,187.7200,185.4291,186.4100,185.9992,48177301,0.0000,1.0000
2019-06-17,183.0100,184.2500,182.8350,183.7400,183.3351,20379476,0.0000,1.0000
2019-06-14,182.4400,183.1100,181.9400,182.6400,182.2375,22844089,0.0000,1.0000
2019-06-13,183.1200,183.8700,182.7400,183.4200,183.0158,23715829,0.0000,1.0000
2019-06-12,182.8800,183.2800,182.0000,182.3400,181.9382,27758120,0.0000,1.0000
2019-06-11,185.0700,185.4000,182.7800,183.4000,182.9958,41260320,0.0000,1.0000
2019-06-10,182.2300,184.8500,182.2100,183.1500,182.7464,41385280,0.0000,1.0000
2019-06-07,178.5000,181.7666,178.3300,181.0400,180.6410,45888345,0.0000,1.0000
2019-06-06,176.5200,178.0400,175.7300,177.6100,177.2186,29913205,0.0000,1.0000
2019-06-05,176.6000,176.6100,174.3800,176.2100,175.8217,34412697,0.0000,1.0000
2019-06-04,171.9800,174.9700,171.3700,174.9100,174.5245,47797848,0.0000,1.0000
2019-06-03,173.5200,173.9500,169.2700,170.1200,169.7451,75842290,0.0000,1.0000
2019-05-31,174.7100,175.2900,173.8700,173.9500,173.5667,45446206,0.0000,1.0000
2019-05-30,176.5400,177.2700,175.7700,176.7700,176.3804,30354790,0.0000,1.0000
2019-05-29,176.4500,177.0000,175.0900,176.0300,175.6421,42178772,0.0000,1.0000
2019-05-28,178.6700,179.6600,177.4700,177.4900,177.0989,24763823,0.0000,1.0000
2019-05-24,179.3000,179.8500,177.9400,178.1600,177.7674,25903267,0.0000,1.0000
2019-05-23,179.0000,179.0230,177.1400,178.2500,177.8572,45351309,0.0000,1.0000
2019-05-22,180.8100,182.0700,180.7500,181.0200,180.6211,24332550,0.0000,1.0000
2019-05-21,181.5000,182.3300,180.9200,181.8300,181.4293,31613790,0.0000,1.0000
2019-05-20,180.5100,181.1799,179.3400,179.9500,179.5534,38608294,0.0000,1.0000
2019-05-17,183.1000,185.5813,182.8800,183.0400,182.6366,44702276,0.0000,1.0000
2019-05-16,183.1100,186.0700,182.9500,184.9300,184.5225,39281157,0.0000,1.0000
2019-05-15,179.3900,183.5500,179.3100,183.0900,182.6865,40944547,0.0000,1.0000
2019-05-14,179.5100,181.6300,178.8600,180.5400,180.1421,43360636,0.0000,1.0000
2019-05-13,180.3000,181.2600,178.0600,178.5800,178.1864,67185766,0.0000,1.0000
2019-05-10,184.0600,185.8900,181.0302,185.0000,184.5923,58526402,0.0000,1.0000
2019-05-09,183.7600,185.4121,182.0900,184.7700,184.3628,55351668,0.0000,1.0000
2019-05-08,185.6800,187.1700,184.9600,185.7700,185.3606,37165319,0.0000,1.0000
2019-05-07,187.8600,188.6700,184.5100,186.2400,185.8296,58818134,0.0000,1.0000
2019-05-06,187.1000,190.2000,186.7600,189.9400,189.5214,38371777,0.0000,1.0000
2019-05-03,189.6900,191.2500,189.3300,191.1100,190.6888,30386180,0.0000,1.0000
2019-05-02,188.8800,189.8500,186.8700,188.1100,187.6954,44110122,0.0000,1.0000
2019-05-01,190.7600,191.3200,188.7950,188.9300,188.5136,34797109,0.0000,1.0000
2019-04-30,189.4800,189.8500,188.2100,189.5400,189.1223,31495277,0.0000,1.0000
2019-04-29,190.6200,191.3200,190.3400,191.0200,190.5990,21716242,0.0000,1.0000
2019-04-26,190.2000,190.6900,188.5900,190.6500,190.2298,26359537,0.0000,1.0000
2019-04-25,191.1500,191.2200,189.4500,190.4800,190.0602,29517497,0.0000,1.0000
2019-04-24,190.4400,190.7100,189.6500,189.7100,189.2919,24977108,0.0000,1.0000
2019-04-23,188.3700,190.5400,188.1300,190.3100,189.8906,33665561,0.0000,1.0000
2019-04-22,186.5400,187.9900,186.4300,187.9200,187.5059,17936033,0.0000,1.0000
2019-04-18,187.4800,187.7905,186.2900,187.3900,186.9770,28580864,0.0000,1.0000
2019-04-17,187.7500,187.9300,186.6000,187.1500,186.7376,29651575,0.0000,1.0000
2019-04-16,186.5100,186.9100,185.9300,186.5000,186.0890,27195709,0.0000,1.0000
2019-04-15,185.8100,186.0700,184.6200,185.8600,185.4504,21073046,0.0000,1.0000
2019-04-12,185.8600,185.9500,185.0601,185.8300,185.4205,24989136,0.0000,1.0000
2019-04-11,185.7700,185.7800,184.6899,185.0300,184.6222,20654094,0.0000,1.0000
2019-04-10,184.7500,185.5300,184.5200,185.4700,185.0613,24562958,0.0000,1.0000
2019-04-09,184.5000,185.1100,184.0900,184.4800,184.0734,25631886,0.0000,1.0000
2019-04-08,184.3700,185.2800,183.6300,185.1300,184.7220,22697543,0.0000,1.0000
2019-04-05,184.3000,184.7700,184.0183,184.6600,184.2530,25674660,0.0000,1.0000
2019-04-04,183.8100,184.5000,182.6500,183.7100,183.3051,28530828,0.0000,1.0000
2019-04-03,183.7400,184.9200,183.2089,183.7800,183.3750,31633476,0.0000,1.0000
2019-04-02,182.2300,182.9050,181.7800,182.7300,182.3273,22645151,0.0000,1.0000
2019-04-01,181.4200,182.2600,180.7700,182.0400,181.6388,30969472,0.0000,1.0000
2019-03-29,179.6300,179.8300,178.5900,179.6600,179.2641,35205511,0.0000,1.0000
2019-03-28,178.3600,178.9800,177.2400,178.3100,177.9170,30368235,0.0000,1.0000
2019-03-27,179.2700,179.7200,176.6000,177.9000,177.5079,37096697,0.0000,1.0000
2019-03-26,179.5800,180.6900,178.1400,179.0500,178.6554,33248121,0.0000,1.0000
2019-03-25,177.9200,178.8400,176.9300,178.2200,177.8272,46336524,0.0000,1.0000
2019-03-22,181.7600,182.2700,178.3700,178.5600,178.1665,70794543,0.0000,1.0000
2019-03-21,179.2400,182.8300,179.2000,182.5700,182.1677,42428481,0.0000,1.0000
2019-03-20,179.0600,180.8600,178.2400,179.7600,179.3638,50104996,0.0000,1.0000
2019-03-19,179.1600,180.0000,178.2900,179.0500,178.6554,36893341,0.0000,1.0000
2019-03-18,177.9500,178.9900,177.5915,178.4500,178.0567,32935125,0.3242,1.0000
2019-03-15,177.4300,178.8800,177.2800,178.3500,177.6342,38191958,0.0000,1.0000
2019-03-14,177.1150,177.3400,176.6600,176.7100,176.0008,23751477,0.0000,1.0000
2019-03-13,176.6000,177.9300,176.3500,177.0100,176.2996,42426135,0.0000,1.0000
2019-03-12,175.1700,176.1400,174.7715,175.6900,174.9849,33953500,0.0000,1.0000
2019-03-11,171.8600,174.8500,171.8500,174.7300,174.0288,30518408,0.0000,1.0000
2019-03-08,169.5100,171.2600,169.3375,171.1700,170.4830,39303225,0.0000,1.0000
2019-03-07,173.0900,173.1800,170.7900,171.4300,170.7420,39407443,0.0000,1.0000
2019-03-06,174.6800,174.7500,173.2800,173.5600,172.8635,27194581,0.0000,1.0000
2019-03-05,174.5200,175.0850,173.6850,174.5500,173.8495,22319863,0.0000,1.0000
2019-03-04,175.3700,175.7900,172.4700,174.4200,173.7200,38063458,0.0000,1.0000
